Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-02-06,Misc,3.04E+11,2023-02-06,700,0,3573.1
2023-02-06,Food,3.4E+11,2023-02-06,20,0,3553.1
2023-02-07,Food,3.4E+11,2023-02-07,65,0,3488.1
2023-02-07,Food,3.04E+11,2023-02-07,36,0,3452.1
2023-02-07,Food,3.4E+11,2023-02-07,40,0,3412.1
2023-02-07,Food,3.4E+11,2023-02-07,10,0,3402.1
2023-02-08,Food,3.41E+11,2023-02-08,150.28,0,3251.82
2023-02-08,Food,3.04E+11,2023-02-08,20,0,3231.82
2023-02-08,Misc,3.04E+11,2023-02-08,500,0,2731.82
2023-02-08,Food,3.41E+11,2023-02-08,30,0,2701.82
2023-02-09,Food,3.04E+11,2023-02-09,33,0,2668.82
2023-02-09,Food,3.41E+11,2023-02-09,30,0,2638.82
2023-02-09,Shopping,3.04E+11,2023-02-09,474,0,2164.82
2023-02-09,Food,3.41E+11,2023-02-09,32,0,2132.82
2023-02-09,Food,3.41E+11,2023-02-09,20,0,2112.82
2023-02-10,Food,3.04E+11,2023-02-10,40,0,2072.82
2023-02-10,Food,3.41E+11,2023-02-10,54,0,2018.82
2023-02-10,Food,3.41E+11,2023-02-10,51,0,1967.82
2023-02-10,Food,3.04E+11,2023-02-10,60,0,1907.82
2023-02-10,Food,3.04E+11,2023-02-10,39,0,1868.82
2023-02-10,Food,3.41E+11,2023-02-10,30,0,1838.82
2023-02-10,Food,3.41E+11,2023-02-10,52,0,1786.82
2023-02-11,Shopping,3.04E+11,2023-02-11,0,249,2035.82
2023-02-11,Shopping,3.04E+11,2023-02-11,0,225,2260.82
2023-02-11,Shopping,3.04E+11,2023-02-11,261,0,1999.82
2023-02-11,Food,3.04E+11,2023-02-11,32,0,1967.82
2023-02-11,Food,3.04E+11,2023-02-11,150.28,0,1817.54
2023-02-11,Food,3.41E+11,2023-02-11,60,0,1757.54
2023-02-11,Misc,3.04E+11,2023-02-11,0,500,2257.54
2023-02-12,Misc,3.41E+11,2023-02-12,330,0,1927.54
2023-02-12,Food,3.41E+11,2023-02-12,44,0,1883.54
2023-02-12,Food,3.41E+11,2023-02-12,100,0,1783.54
2023-02-12,Misc,3.04E+11,2023-02-12,500,0,1283.54
2023-02-12,Misc,3.04E+11,2023-02-12,117,0,1166.54
2023-02-12,Food,3.04E+11,2023-02-12,25,0,1141.54
2023-02-12,Food,3.04E+11,2023-02-12,30,0,1111.54
2023-02-13,Food,3.04E+11,2023-02-13,40,0,1071.54
2023-02-13,Food,3.41E+11,2023-02-13,173.7,0,897.84
2023-02-13,Food,3.04E+11,2023-02-13,67,0,830.84
2023-02-13,Food,3.41E+11,2023-02-13,40,0,790.84
2023-02-14,Food,3.41E+11,2023-02-14,40,0,750.84
2023-02-14,Food,3.05E+11,2023-02-14,242.45,0,508.39
2023-02-14,Food,3.05E+11,2023-02-14,60,0,448.39
2023-02-15,Food,3.05E+11,2023-02-15,40,0,408.39
2023-02-15,Food,3.05E+11,2023-02-15,148,0,260.39
2023-02-15,Misc,3.05E+11,2023-02-15,130,0,130.39
2023-02-16,Food,3.05E+11,2023-02-16,30,0,100.39
2023-02-16,Food,3.41E+11,2023-02-16,40,0,60.39
2023-02-16,Misc,3.05E+11,2023-02-16,0,80,140.39
2023-02-16,Food,3.05E+11,2023-02-16,100,0,40.39
2023-02-16,Misc,3.41E+11,2023-02-16,0,1500,1540.39
2023-02-17,Misc,3.05E+11,2023-02-17,5,0,1535.39
2023-02-17,Food,3.41E+11,2023-02-17,20,0,1515.39
2023-02-17,Food,3.05E+11,2023-02-17,30,0,1485.39
2023-02-17,Food,3.41E+11,2023-02-17,65,0,1420.39
2023-02-17,Food,3.41E+11,2023-02-17,30,0,1390.39
2023-02-17,Food,3.41E+11,2023-02-17,70,0,1320.39
